,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
1000,F30416,        85,E,2.0,2019-11-28 09:26:13,2019-11-28,2019-11-14 00:00:00,2019-12-13,,29750.000000000004,0.0,0
1001,F30417,      6205,C,2.0,2019-11-28 09:57:15,2019-11-28,2019-11-22 00:00:00,2019-11-28,2019-11-28,19600.0,0.0,0
1002,F30418,      6205,E,2.0,2019-11-28 10:04:52,2019-11-28,2019-11-22 00:00:00,2019-11-28,,19600.0,0.0,0
1003,F30419,      4029,E,2.0,2019-11-28 10:07:12,2019-11-28,2019-09-18 00:00:00,2019-11-28,,7784.4800000000005,0.0,0
1004,F30420,      3577,E,3.0,2019-11-28 10:30:21,2019-11-28,2019-10-30 00:00:00,2019-12-28,,14664.500000000002,0.0,0
1005,F30421,      3346,E,1.0,2019-11-28 10:35:01,2019-11-28,2019-11-25 00:00:00,2019-12-28,,10504.800000000001,0.0,0
1006,F30422,      3577,E,3.0,2019-11-28 10:37:42,2019-11-28,2019-10-29 00:00:00,2019-12-28,,9520.0,0.0,0
1007,F30423,      6948,E,3.0,2019-11-28 11:00:52,2019-11-28,2019-11-27 00:00:00,2019-11-28,,800.0000000000001,0.0,0
1008,F30424,      6950,E,2.0,2019-11-28 11:50:22,2019-11-28,2019-11-28 00:00:00,2019-11-28,,4676.7241,0.0,0
1009,F30425,      6943,E,2.0,2019-11-28 12:17:23,2019-11-28,2019-11-22 00:00:00,2019-11-28,,841.7700000000001,0.0,0
1010,F30426,      2067,E,2.0,2019-11-28 13:17:02,2019-11-28,2019-11-28 00:00:00,2019-11-28,,1130.0,0.0,0
1011,F30427,      5019,E,2.0,2019-11-28 13:26:10,2019-11-28,2019-11-28 00:00:00,2019-11-28,,193.12,0.0,0
1012,F30428,      5926,E,2.0,2019-11-28 13:29:10,2019-11-28,2019-11-28 00:00:00,2019-11-28,,474.27,0.0,0
1013,F30429,      4605,E,2.0,2019-11-28 16:25:33,2019-11-28,2019-11-28 00:00:00,2019-11-28,,1105.0,0.0,0
1014,F30430,      5928,C,2.0,2019-11-28 16:41:03,2019-11-28,2019-11-22 00:00:00,2019-12-13,2019-11-28,2625.0,0.0,0
1015,F30431,      5928,E,2.0,2019-11-28 16:43:38,2019-11-28,2019-11-22 00:00:00,2019-12-13,,2625.0,0.0,0
1016,F30432,      5668,E,2.0,2019-11-28 16:53:21,2019-11-28,2019-11-28 00:00:00,2019-11-28,,252.16,0.0,0
1017,F30433,      5181,E,2.0,2019-11-28 18:03:49,2019-11-28,2019-11-14 00:00:00,2019-12-13,,1544.0,0.0,0
1018,F30434,      5926,E,2.0,2019-11-29 09:06:37,2019-11-29,2019-11-28 00:00:00,2019-11-29,,683.21,0.0,0
1019,F30435,      1965,E,2.0,2019-11-29 09:08:14,2019-11-29,2019-11-28 00:00:00,2019-12-14,,2125.0000000000005,318.75,0
1020,F30436,      6636,E,9.0,2019-11-29 11:47:10,2019-11-29,2019-11-28 00:00:00,2019-11-29,,1274.0,0.0,0
